keys,ru,en
player.fullhp,Полное здоровье — нельзя использовать!,Full health — can’t use!
boss.sheeper,Пастух,Shepherd
boss.sheeper.defeat,Убить или пощадить?,Kill or spare?
boss.sheeper.mercy,Пастух: Ты... щадишь меня?.. Спасибо…,Shepherd: You are… sparing me?.. Thank you... 
boss.doctor.mercy,Хирург: Спасибо... Пойду потренируюсь на других.,Surgeon: Thank you… I’m going to practice on others.
boss.doctor.defeat,"Хирург: Операция не удалась... 
(убить или пощадить?)","Surgeon: The operation failed...
(kill or spare?)"
boss.doctor,Хирург,Surgeon
boss.knight,Великий рыцарь,Great Knight
boss.knight.defeat,"Великий рыцарь: Ну иди…
(убить или пощадить?)","Great Knight: Well, go…
(kill or spare?)"
boss.knight.mercy,"Великий рыцарь: Ты спасёшь всех, %s!","Great Knight: You will save everyone, %s!"
boss.forester,Лесоруб,Lumberjack
boss.forester.defeat,"Лесоруб: Что смотришь? Добей уже!
(убить или пощадить?)","Lumberjack: What are you looking at? Finish me already!
(kill or spare?)"
boss.forester.mercy,Лесоруб: Чего??? Ну и ладно.,"Lumberjack: What??? Well, that’s fine."
boss.fire,Огненный страж,Fire Guardian
boss.fire.defeat,"Огненный страж: Я... Выгорел?..
(убить или пощадить?)","Fire Guardian: Am I... burned out?..
(kill or spare?)"
boss.fire.mercy,"Огненный страж: Иди, ты достоин.","Fire Guardian: Go, you are worthy."
boss.wizard,Чёрный маг,Black Wizard
boss.wizard.mercy,"Чёрный маг: Слава тебе, %s!","Black Wizard: Thank you, %s!"
boss.wizard.defeat,"Чёрный маг: Я был неправ…
(убить или пощадить?)","Black Wizard: I was wrong…
(kill or spare?)"
boss.pidor,,
boss.pidor.defeat,,
boss.pidor.mercy,,
boss.follower1,,
boss.follower1.mercy,,
boss.follower1.defeat,,
boss.follower2,,
boss.follower2.mercy,,
boss.follower2.defeat,,
boss.main,,
boss.main.defeat,,
boss.main.mercy,,
miss.miss,МИМО,MISS
location.field,Поле,Field
location.forest,Лес,Forest
location.mountain,Горы,Mountains
location.cave,Пещера,Cave
location.red_world.cave,Пещера Красного мира,Red World Cave
location.red_world,Красный мир,Red World
location.red_world.castle,Замок Красного мира,Red World Castle
location.village,Деревня,Village
location.factory,Завод,Factory
location.islands,Небесные острова,Heavenly islands
level.1_1,Уровень 1-1,Level 1-1
level.1_2,Уровень 1-2,Level 1-2
level.1_3,Уровень 1-3,Level 1-3
level.1_4,Уровень 1-4,Level 1-4
level.1_5,Уровень 1-5,Level 1-5
level.1_6,Уровень 1-6,Level 1-6
level.1_7,Уровень 1-7,Level 1-7
level.1_8,Уровень 1-8,Level 1-8
level.1_9,Уровень 1-9,Level 1-9
level.1_10,Уровень 1-10,Level 1-10
level.2_1,Уровень 2-1,Level 2-1
level.2_2,Уровень 2-2,Level 2-2
level.2_3,Уровень 2-3,Level 2-3
level.2_4,Уровень 2-4,Level 2-4
level.2_5,Уровень 2-5,Level 2-5
level.2_6,Уровень 2-6,Level 2-6
level.2_7,Уровень 2-7,Level 2-7
level.2_8,Уровень 2-8,Level 2-8
level.2_9,Уровень 2-9,Level 2-9
level.2_10,Уровень 2-10,Level 2-10
level.3_1,Уровень 3-1,Level 3-1
level.3_2,Уровень 3-2,Level 3-2
level.3_3,Уровень 3-3,Level 3-3
level.3_4,Уровень 3-4,Level 3-4
level.3_5,Уровень 3-5,Level 3-5
level.3_6,Уровень 3-6,Level 3-6
level.3_7,Уровень 3-7,Level 3-7
level.3_8,Уровень 3-8,Level 3-8
level.3_9,Уровень 3-9,Level 3-9
level.3_10,Уровень 3-10,Level 3-10
level.4_1,Уровень 4-1,Level 4-1
level.4_2,Уровень 4-2,Level 4-2
level.4_3,Уровень 4-3,Level 4-3
level.4_4,Уровень 4-4,Level 4-4
level.4_5,Уровень 4-5,Level 4-5
level.4_6,Уровень 4-6,Level 4-6
level.4_7,Уровень 4-7,Level 4-7
level.4_8,Уровень 4-8,Level 4-8
level.4_9,Уровень 4-9,Level 4-9
level.4_10,Уровень 4-10,Level 4-10
level.5_1,Уровень 5-1,Level 5-1
level.5_2,Уровень 5-2,Level 5-2
level.5_3,Уровень 5-3,Level 5-3
level.5_4,Уровень 5-4,Level 5-4
level.5_5,Уровень 5-5,Level 5-5
level.5_6,Уровень 5-6,Level 5-6
level.5_7,Уровень 5-7,Level 5-7
level.5_8,Уровень 5-8,Level 5-8
level.5_9,Уровень 5-9,Level 5-9
level.5_10,Уровень 5-10,Level 5-10
level.6_1,Уровень 6-1,Level 6-1
level.6_2,Уровень 6-2,Level 6-2
level.6_3,Уровень 6-3,Level 6-3
level.6_4,Уровень 6-4,Level 6-4
level.6_5,Уровень 6-5,Level 6-5
level.6_6,Уровень 6-6,Level 6-6
level.6_7,Уровень 6-7,Level 6-7
level.6_8,Уровень 6-8,Level 6-8
level.6_9,Уровень 6-9,Level 6-9
level.6_10,Уровень 6-10,Level 6-10
level.7_1,Уровень 7-1,Level 7-1
level.7_2,Уровень 7-2,Level 7-2
level.7_3,Уровень 7-3,Level 7-3
level.7_4,Уровень 7-4,Level 7-4
level.7_5,Уровень 7-5,Level 7-5
level.7_6,Уровень 7-6,Level 7-6
level.7_7,Уровень 7-7,Level 7-7
level.7_8,Уровень 7-8,Level 7-8
level.7_9,Уровень 7-9,Level 7-9
level.7_10,Уровень 7-10,Level 7-10
level.8_1,Уровень 8-1,Level 8-1
level.8_2,Уровень 8-2,Level 8-2
level.8_3,Уровень 8-3,Level 8-3
level.8_4,Уровень 8-4,Level 8-4
level.8_5,Уровень 8-5,Level 8-5
level.8_6,Уровень 8-6,Level 8-6
level.8_7,Уровень 8-7,Level 8-7
level.8_8,Уровень 8-8,Level 8-8
level.8_9,Уровень 8-9,Level 8-9
level.8_10,Уровень 8-10,Level 8-10
level.9_1,Уровень 9-1,Level 9-1
level.9_2,Уровень 9-2,Level 9-2
level.9_3,Уровень 9-3,Level 9-3
level.9_4,Уровень 9-4,Level 9-4
level.9_5,Уровень 9-5,Level 9-5
level.9_6,Уровень 9-6,Level 9-6
level.9_7,Уровень 9-7,Level 9-7
level.9_8,Уровень 9-8,Level 9-8
level.9_9,Уровень 9-9,Level 9-9
level.9_10,Уровень 9-10,Level 9-10
level.10_1,Уровень 10-1,Level 10-1
level.10_2,Уровень 10-2,Level 10-2
level.10_3,Уровень 10-3,Level 10-3
level.10_4,Уровень 10-4,Level 10-4
level.10_5,Уровень 10-5,Level 10-5
level.10_6,Уровень 10-6,Level 10-6
level.10_7,Уровень 10-7,Level 10-7
level.10_8,Уровень 10-8,Level 10-8
level.10_9,Уровень 10-9,Level 10-9
level.10_10,Уровень 10-10,Level 10-10
